key,pressed,released,user,hold_time,press_press_time,press_release_time,release_release_time
r,2021-10-20 11:19:09.216003,2021-10-20 11:19:09.353948,zihao,137945.0,126069.0,-11876.0,151979.0
[space],2021-10-20 11:19:09.342072,2021-10-20 11:19:09.505927,zihao,163855.0,191948.0,28093.0,152456.0
o,2021-10-20 11:19:09.534020,2021-10-20 11:19:09.658383,zihao,124363.0,89777.0,-34586.0,120239.0
f,2021-10-20 11:19:09.623797,2021-10-20 11:19:09.778622,zihao,154825.0,165364.0,10539.0,156919.0
[space],2021-10-20 11:19:09.789161,2021-10-20 11:19:09.935541,zihao,146380.0,232225.0,85845.0,247209.0
t,2021-10-20 11:19:10.021386,2021-10-20 11:19:10.182750,zihao,161364.0,132490.0,-28874.0,106912.0
h,2021-10-20 11:19:10.153876,2021-10-20 11:19:10.289662,zihao,135786.0,94856.0,-40930.0,142669.0
e,2021-10-20 11:19:10.248732,2021-10-20 11:19:10.432331,zihao,183599.0,218361.0,34762.0,168361.0
r,2021-10-20 11:19:10.467093,2021-10-20 11:19:10.600692,zihao,133599.0,1071428.0,937829.0,1065817.0
[backspace],2021-10-20 11:19:11.538521,2021-10-20 11:19:11.666509,zihao,127988.0,210558.0,82570.0,210688.0
[space],2021-10-20 11:19:11.749079,2021-10-20 11:19:11.877197,zihao,128118.0,400022.0,271904.0,400288.0
a,2021-10-20 11:19:12.149101,2021-10-20 11:19:12.277485,zihao,128384.0,172605.0,44221.0,172075.0
l,2021-10-20 11:19:12.321706,2021-10-20 11:19:12.449560,zihao,127854.0,1288080.0,1160226.0,1286333.0
h,2021-10-20 11:19:13.609786,2021-10-20 11:19:13.735893,zihao,126107.0,93056.0,-33051.0,118150.0
a,2021-10-20 11:19:13.702842,2021-10-20 11:19:13.854043,zihao,151201.0,1164890.0,1013689.0,1136409.0
[backspace],2021-10-20 11:19:14.867732,2021-10-20 11:19:14.990452,zihao,122720.0,168258.0,45538.0,178289.0
[backspace],2021-10-20 11:19:15.035990,2021-10-20 11:19:15.168741,zihao,132751.0,355408.0,222657.0,328381.0
p,2021-10-20 11:19:15.391398,2021-10-20 11:19:15.497122,zihao,105724.0,263484.0,157760.0,273813.0
h,2021-10-20 11:19:15.654882,2021-10-20 11:19:15.770935,zihao,116053.0,81609.0,-34444.0,127067.0
a,2021-10-20 11:19:15.736491,2021-10-20 11:19:15.898002,zihao,161511.0,177492.0,15981.0,162102.0
b,2021-10-20 11:19:15.913983,2021-10-20 11:19:16.060104,zihao,146121.0,203005.0,56884.0,195521.0
a,2021-10-20 11:19:16.116988,2021-10-20 11:19:16.255625,zihao,138637.0,178157.0,39520.0,191207.0
t,2021-10-20 11:19:16.295145,2021-10-20 11:19:16.446832,zihao,151687.0,249887.0,98200.0,220987.0
[space],2021-10-20 11:19:16.545032,2021-10-20 11:19:16.667819,zihao,122787.0,117923.0,-4864.0,143920.0
a,2021-10-20 11:19:16.662955,2021-10-20 11:19:16.811739,zihao,148784.0,209571.0,60787.0,190046.0
t,2021-10-20 11:19:16.872526,2021-10-20 11:19:17.001785,zihao,129259.0,581977.0,452718.0,597076.0
[space],2021-10-20 11:19:17.454503,2021-10-20 11:19:17.598861,zihao,144358.0,261872.0,117514.0,231137.0
l,2021-10-20 11:19:17.716375,2021-10-20 11:19:17.829998,zihao,113623.0,110710.0,-2913.0,175040.0
e,2021-10-20 11:19:17.827085,2021-10-20 11:19:18.005038,zihao,177953.0,148415.0,-29538.0,143522.0
a,2021-10-20 11:19:17.975500,2021-10-20 11:19:18.148560,zihao,173060.0,695128.0,522068.0,677108.0
s,2021-10-20 11:19:18.670628,2021-10-20 11:19:18.825668,zihao,155040.0,216835.0,61795.0,235987.0
t,2021-10-20 11:19:18.887463,2021-10-20 11:19:19.061655,zihao,174192.0,287442.0,113250.0,236386.0
[space],2021-10-20 11:19:19.174905,2021-10-20 11:19:19.298041,zihao,123136.0,314098.0,190962.0,323505.0
o,2021-10-20 11:19:19.489003,2021-10-20 11:19:19.621546,zihao,132543.0,127826.0,-4717.0,143956.0
n,2021-10-20 11:19:19.616829,2021-10-20 11:19:19.765502,zihao,148673.0,105045.0,-43628.0,155330.0
c,2021-10-20 11:19:19.721874,2021-10-20 11:19:19.920832,zihao,198958.0,137815.0,-61143.0,94915.0
e,2021-10-20 11:19:19.859689,2021-10-20 11:19:20.015747,zihao,156058.0,1156484.0,1000426.0,1127858.0
.,2021-10-20 11:19:21.016173,2021-10-20 11:19:21.143605,zihao,127432.0,283903.0,156471.0,267471.0
[space],2021-10-20 11:19:21.300076,2021-10-20 11:19:21.411076,zihao,111000.0,1009291.0,898291.0,1054647.0
[caps_lock],2021-10-20 11:19:22.309367,2021-10-20 11:19:22.465723,zihao,156356.0,422409.0,266053.0,399643.0
t,2021-10-20 11:19:22.731776,2021-10-20 11:19:22.865366,zihao,133590.0,143528.0,9938.0,138429.0
[caps_lock],2021-10-20 11:19:22.875304,2021-10-20 11:19:23.003795,zihao,128491.0,156034.0,27543.0,139168.0
h,2021-10-20 11:19:23.031338,2021-10-20 11:19:23.142963,zihao,111625.0,134578.0,22953.0,162035.0
e,2021-10-20 11:19:23.165916,2021-10-20 11:19:23.304998,zihao,139082.0,224045.0,84963.0,133414.0
[space],2021-10-20 11:19:23.389961,2021-10-20 11:19:23.438412,zihao,48451.0,326942.0,278491.0,436561.0
m,2021-10-20 11:19:23.716903,2021-10-20 11:19:23.874973,zihao,158070.0,144283.0,-13787.0,113950.0
o,2021-10-20 11:19:23.861186,2021-10-20 11:19:23.988923,zihao,127737.0,132567.0,4830.0,128079.0
s,2021-10-20 11:19:23.993753,2021-10-20 11:19:24.117002,zihao,123249.0,285062.0,161813.0,312057.0
t,2021-10-20 11:19:24.278815,2021-10-20 11:19:24.429059,zihao,150244.0,259830.0,109586.0,243124.0
[space],2021-10-20 11:19:24.538645,2021-10-20 11:19:24.672183,zihao,133538.0,265851.0,132313.0,277093.0
f,2021-10-20 11:19:24.804496,2021-10-20 11:19:24.949276,zihao,144780.0,110688.0,-34092.0,94340.0
a,2021-10-20 11:19:24.915184,2021-10-20 11:19:25.043616,zihao,128432.0,122715.0,-5717.0,167507.0
m,2021-10-20 11:19:25.037899,2021-10-20 11:19:25.211123,zihao,173224.0,176147.0,2923.0,115484.0
o,2021-10-20 11:19:25.214046,2021-10-20 11:19:25.326607,zihao,112561.0,116446.0,3885.0,171534.0
u,2021-10-20 11:19:25.330492,2021-10-20 11:19:25.498141,zihao,167649.0,227708.0,60059.0,221634.0
s,2021-10-20 11:19:25.558200,2021-10-20 11:19:25.719775,zihao,161575.0,197968.0,36393.0,187137.0
[space],2021-10-20 11:19:25.756168,2021-10-20 11:19:25.906912,zihao,150744.0,357684.0,206940.0,372764.0
p,2021-10-20 11:19:26.113852,2021-10-20 11:19:26.279676,zihao,165824.0,156098.0,-9726.0,139165.0
a,2021-10-20 11:19:26.269950,2021-10-20 11:19:26.418841,zihao,148891.0,72106.0,-76785.0,72546.0
n,2021-10-20 11:19:26.342056,2021-10-20 11:19:26.491387,zihao,149331.0,224063.0,74732.0,207680.0
g,2021-10-20 11:19:26.566119,2021-10-20 11:19:26.699067,zihao,132948.0,197312.0,64364.0,221099.0
r,2021-10-20 11:19:26.763431,2021-10-20 11:19:26.920166,zihao,156735.0,110780.0,-45955.0,93490.0
a,2021-10-20 11:19:26.874211,2021-10-20 11:19:27.013656,zihao,139445.0,100383.0,-39062.0,94258.0
n,2021-10-20 11:19:26.974594,2021-10-20 11:19:27.107914,zihao,133320.0,712893.0,579573.0,691449.0
[backspace],2021-10-20 11:19:27.687487,2021-10-20 11:19:27.799363,zihao,111876.0,184107.0,72231.0,234423.0
m,2021-10-20 11:19:27.871594,2021-10-20 11:19:28.033786,zihao,162192.0,281956.0,119764.0,253246.0
