key,pressed,released,user,hold_time,press_press_time,press_release_time
e,2021-11-22 11:16:40.036728,2021-11-22 11:16:40.192953,alex,156225.0,343688.0,187463.0
[space],2021-11-22 11:16:40.380416,2021-11-22 11:16:40.474134,alex,93718.0,171698.0,77980.0
o,2021-11-22 11:16:40.552114,2021-11-22 11:16:40.755314,alex,203200.0,109485.0,-93715.0
n,2021-11-22 11:16:40.661599,2021-11-22 11:16:40.802169,alex,140570.0,249946.0,109376.0
e,2021-11-22 11:16:40.911545,2021-11-22 11:16:41.098999,alex,187454.0,93711.0,-93743.0
[space],2021-11-22 11:16:41.005256,2021-11-22 11:16:41.145758,alex,140502.0,218709.0,78207.0
e,2021-11-22 11:16:41.223965,2021-11-22 11:16:41.317594,alex,93629.0,359289.0,265660.0
x,2021-11-22 11:16:41.583254,2021-11-22 11:16:41.723847,alex,140593.0,296808.0,156215.0
a,2021-11-22 11:16:41.880062,2021-11-22 11:16:41.989404,alex,109342.0,109342.0,0.0
m,2021-11-22 11:16:41.989404,2021-11-22 11:16:42.083031,alex,93627.0,234330.0,140703.0
p,2021-11-22 11:16:42.223734,2021-11-22 11:16:42.413198,alex,189464.0,120558.0,-68906.0
l,2021-11-22 11:16:42.344292,2021-11-22 11:16:42.506913,alex,162621.0,100145.0,-62476.0
e,2021-11-22 11:16:42.444437,2021-11-22 11:16:42.585016,alex,140579.0,312418.0,171839.0
",",2021-11-22 11:16:42.756855,2021-11-22 11:16:42.944187,alex,187332.0,218709.0,31377.0
[space],2021-11-22 11:16:42.975564,2021-11-22 11:16:43.100514,alex,124950.0,296818.0,171868.0
h,2021-11-22 11:16:43.272382,2021-11-22 11:16:43.365978,alex,93596.0,249919.0,156323.0
[backspace],2021-11-22 11:16:43.522301,2021-11-22 11:16:43.600394,alex,78093.0,78093.0,0.0
t,2021-11-22 11:16:43.600394,2021-11-22 11:16:43.694142,alex,93748.0,109364.0,15616.0
h,2021-11-22 11:16:43.709758,2021-11-22 11:16:43.803481,alex,93723.0,124972.0,31249.0
e,2021-11-22 11:16:43.834730,2021-11-22 11:16:44.006562,alex,171832.0,124977.0,-46855.0
r,2021-11-22 11:16:43.959707,2021-11-22 11:16:44.131409,alex,171702.0,140576.0,-31126.0
e,2021-11-22 11:16:44.100283,2021-11-22 11:16:44.272125,alex,171842.0,109365.0,-62477.0
[space],2021-11-22 11:16:44.209648,2021-11-22 11:16:44.350224,alex,140576.0,265425.0,124849.0
w,2021-11-22 11:16:44.475073,2021-11-22 11:16:44.600162,alex,125089.0,171944.0,46855.0
a,2021-11-22 11:16:44.647017,2021-11-22 11:16:44.803235,alex,156218.0,124990.0,-31228.0
s,2021-11-22 11:16:44.772007,2021-11-22 11:16:44.928226,alex,156219.0,156219.0,0.0
[space],2021-11-22 11:16:44.928226,2021-11-22 11:16:45.006326,alex,78100.0,124964.0,46864.0
t,2021-11-22 11:16:45.053190,2021-11-22 11:16:45.162542,alex,109352.0,140600.0,31248.0
h,2021-11-22 11:16:45.193790,2021-11-22 11:16:45.271887,alex,78097.0,93720.0,15623.0
e,2021-11-22 11:16:45.287510,2021-11-22 11:16:45.443730,alex,156220.0,187464.0,31244.0
[space],2021-11-22 11:16:45.474974,2021-11-22 11:16:45.584185,alex,109211.0,171814.0,62603.0
t,2021-11-22 11:16:45.646788,2021-11-22 11:16:45.771758,alex,124970.0,109366.0,-15604.0
a,2021-11-22 11:16:45.756154,2021-11-22 11:16:45.881114,alex,124960.0,156197.0,31237.0
l,2021-11-22 11:16:45.912351,2021-11-22 11:16:46.052824,alex,140473.0,140473.0,0.0
e,2021-11-22 11:16:46.052824,2021-11-22 11:16:46.224793,alex,171969.0,93846.0,-78123.0
[space],2021-11-22 11:16:46.146670,2021-11-22 11:16:46.271654,alex,124984.0,140609.0,15625.0
o,2021-11-22 11:16:46.287279,2021-11-22 11:16:46.412121,alex,124842.0,109332.0,-15510.0
f,2021-11-22 11:16:46.396611,2021-11-22 11:16:46.552833,alex,156222.0,109365.0,-46857.0
[space],2021-11-22 11:16:46.505976,2021-11-22 11:16:46.615321,alex,109345.0,156199.0,46854.0
a,2021-11-22 11:16:46.662175,2021-11-22 11:16:46.818394,alex,156219.0,93738.0,-62481.0
[space],2021-11-22 11:16:46.755913,2021-11-22 11:16:46.896499,alex,140586.0,515511.0,374925.0
