key,pressed,released,user,hold_time,press_press_time,press_release_time,release_release_time
l,2021-10-20 10:37:28.920957,2021-10-20 10:37:29.006756,stefan,85799.0,96576.0,10777.0,117461.0
e,2021-10-20 10:37:29.017533,2021-10-20 10:37:29.124217,stefan,106684.0,155772.0,49088.0,118245.0
t,2021-10-20 10:37:29.173305,2021-10-20 10:37:29.242462,stefan,69157.0,139750.0,70593.0,156026.0
t,2021-10-20 10:37:29.313055,2021-10-20 10:37:29.398488,stefan,85433.0,69339.0,-16094.0,91239.0
e,2021-10-20 10:37:29.382394,2021-10-20 10:37:29.489727,stefan,107333.0,192698.0,85365.0,165444.0
r,2021-10-20 10:37:29.575092,2021-10-20 10:37:29.655171,stefan,80079.0,48369.0,-31710.0,90674.0
[space],2021-10-20 10:37:29.623461,2021-10-20 10:37:29.745845,stefan,122384.0,267114.0,144730.0,294514.0
l,2021-10-20 10:37:29.890575,2021-10-20 10:37:30.040359,stefan,149784.0,85483.0,-64301.0,79948.0
o,2021-10-20 10:37:29.976058,2021-10-20 10:37:30.120307,stefan,144249.0,222079.0,77830.0,174381.0
n,2021-10-20 10:37:30.198137,2021-10-20 10:37:30.294688,stefan,96551.0,112353.0,15802.0,122282.0
g,2021-10-20 10:37:30.310490,2021-10-20 10:37:30.416970,stefan,106480.0,96248.0,-10232.0,85856.0
[space],2021-10-20 10:37:30.406738,2021-10-20 10:37:30.502826,stefan,96088.0,151853.0,55765.0,141113.0
t,2021-10-20 10:37:30.558591,2021-10-20 10:37:30.643939,stefan,85348.0,90783.0,5435.0,117346.0
h,2021-10-20 10:37:30.649374,2021-10-20 10:37:30.761285,stefan,111911.0,191915.0,80004.0,185724.0
e,2021-10-20 10:37:30.841289,2021-10-20 10:37:30.947009,stefan,105720.0,116665.0,10945.0,123216.0
[space],2021-10-20 10:37:30.957954,2021-10-20 10:37:31.070225,stefan,112271.0,297473.0,185202.0,312947.0
q,2021-10-20 10:37:31.255427,2021-10-20 10:37:31.383172,stefan,127745.0,106586.0,-21159.0,75444.0
u,2021-10-20 10:37:31.362013,2021-10-20 10:37:31.458616,stefan,96603.0,179108.0,82505.0,189689.0
i,2021-10-20 10:37:31.541121,2021-10-20 10:37:31.648305,stefan,107184.0,112178.0,4994.0,166274.0
c,2021-10-20 10:37:31.653299,2021-10-20 10:37:31.814579,stefan,161280.0,188399.0,27119.0,112821.0
k,2021-10-20 10:37:31.841698,2021-10-20 10:37:31.927400,stefan,85702.0,184062.0,98360.0,178125.0
[space],2021-10-20 10:37:32.025760,2021-10-20 10:37:32.105525,stefan,79765.0,197797.0,118032.0,197377.0
b,2021-10-20 10:37:32.223557,2021-10-20 10:37:32.302902,stefan,79345.0,75125.0,-4220.0,155287.0
r,2021-10-20 10:37:32.298682,2021-10-20 10:37:32.458189,stefan,159507.0,133565.0,-25942.0,106996.0
o,2021-10-20 10:37:32.432247,2021-10-20 10:37:32.565185,stefan,132938.0,253407.0,120469.0,254348.0
w,2021-10-20 10:37:32.685654,2021-10-20 10:37:32.819533,stefan,133879.0,157965.0,24086.0,125280.0
n,2021-10-20 10:37:32.843619,2021-10-20 10:37:32.944813,stefan,101194.0,193205.0,92011.0,188210.0
[space],2021-10-20 10:37:33.036824,2021-10-20 10:37:33.133023,stefan,96199.0,224765.0,128566.0,213734.0
g,2021-10-20 10:37:33.261589,2021-10-20 10:37:33.346757,stefan,85168.0,136242.0,51074.0,158381.0
o,2021-10-20 10:37:33.397831,2021-10-20 10:37:33.505138,stefan,107307.0,559260.0,451953.0,532135.0
[backspace],2021-10-20 10:37:33.957091,2021-10-20 10:37:34.037273,stefan,80182.0,144866.0,64684.0,133700.0
[backspace],2021-10-20 10:37:34.101957,2021-10-20 10:37:34.170973,stefan,69016.0,80039.0,11023.0,128368.0
f,2021-10-20 10:37:34.181996,2021-10-20 10:37:34.299341,stefan,117345.0,122339.0,4994.0,118058.0
o,2021-10-20 10:37:34.304335,2021-10-20 10:37:34.417399,stefan,113064.0,86154.0,-26910.0,85032.0
x,2021-10-20 10:37:34.390489,2021-10-20 10:37:34.502431,stefan,111942.0,101957.0,-9985.0,112795.0
[space],2021-10-20 10:37:34.492446,2021-10-20 10:37:34.615226,stefan,122780.0,0.0,0.0,0.0
