,key,pressed,released,user
49,[space],2021-10-20 10:12:20 451795,2021-10-20 10:12:20 576771,Alex
19,a,2021-10-20 10:12:20 592287,2021-10-20 10:12:20 748592,Alex
282,t,2021-10-20 10:12:20 701736,2021-10-20 10:12:20 826715,Alex
50,[space],2021-10-20 10:12:20 826715,2021-10-20 10:12:20 962463,Alex
201,l,2021-10-20 10:12:20 962463,2021-10-20 10:12:21 087433,Alex
245,e,2021-10-20 10:12:21 056325,2021-10-20 10:12:21 212410,Alex
20,a,2021-10-20 10:12:21 150044,2021-10-20 10:12:21 274890,Alex
332,s,2021-10-20 10:12:21 259406,2021-10-20 10:12:21 415609,Alex
283,t,2021-10-20 10:12:21 431230,2021-10-20 10:12:21 585846,Alex
51,[space],2021-10-20 10:12:21 531319,2021-10-20 10:12:21 642814,Alex
161,o,2021-10-20 10:12:21 611434,2021-10-20 10:12:21 814634,Alex
114,n,2021-10-20 10:12:21 720917,2021-10-20 10:12:21 861377,Alex
323,c,2021-10-20 10:12:21 861377,2021-10-20 10:12:22 048957,Alex
246,e,2021-10-20 10:12:22 001969,2021-10-20 10:12:22 205180,Alex
52,[space],2021-10-20 10:12:22 095698,2021-10-20 10:12:22 254436,Alex
3,[maj],2021-10-20 10:12:22 417379,2021-10-20 10:12:22 589217,Alex
284,t,2021-10-20 10:12:22 526726,2021-10-20 10:12:22 604709,Alex
184,h,2021-10-20 10:12:22 636070,2021-10-20 10:12:22 760912,Alex
21,a,2021-10-20 10:12:22 776531,2021-10-20 10:12:22 917255,Alex
214,[backspace],2021-10-20 10:12:23 135959,2021-10-20 10:12:23 198428,Alex
247,e,2021-10-20 10:12:23 182814,2021-10-20 10:12:23 339034,Alex
53,[space],2021-10-20 10:12:23 260907,2021-10-20 10:12:23 417137,Alex
150,m,2021-10-20 10:12:23 417137,2021-10-20 10:12:23 542114,Alex
162,o,2021-10-20 10:12:23 620219,2021-10-20 10:12:23 729554,Alex
333,s,2021-10-20 10:12:23 713936,2021-10-20 10:12:23 838917,Alex
285,t,2021-10-20 10:12:23 870160,2021-10-20 10:12:23 979494,Alex
54,[space],2021-10-20 10:12:23 948262,2021-10-20 10:12:24 041914,Alex
356,f,2021-10-20 10:12:24 120101,2021-10-20 10:12:24 229439,Alex
22,a,2021-10-20 10:12:24 370044,2021-10-20 10:12:24 494998,Alex
151,m,2021-10-20 10:12:24 573123,2021-10-20 10:12:24 698087,Alex
163,o,2021-10-20 10:12:24 807440,2021-10-20 10:12:25 012768,Alex
363,u,2021-10-20 10:12:24 950288,2021-10-20 10:12:25 090770,Alex
334,s,2021-10-20 10:12:25 106484,2021-10-20 10:12:25 309564,Alex
55,[space],2021-10-20 10:12:25 231468,2021-10-20 10:12:25 372070,Alex
101,p,2021-10-20 10:12:25 809451,2021-10-20 10:12:25 903189,Alex
23,a,2021-10-20 10:12:25 965672,2021-10-20 10:12:26 059386,Alex
115,n,2021-10-20 10:12:26 059386,2021-10-20 10:12:26 153129,Alex
126,g,2021-10-20 10:12:26 246862,2021-10-20 10:12:26 340453,Alex
137,r,2021-10-20 10:12:26 449934,2021-10-20 10:12:26 543662,Alex
24,a,2021-10-20 10:12:26 512414,2021-10-20 10:12:26 606014,Alex
152,m,2021-10-20 10:12:26 574892,2021-10-20 10:12:26 699876,Alex
56,[space],2021-10-20 10:12:26 731116,2021-10-20 10:12:26 824831,Alex
309,i,2021-10-20 10:12:26 855989,2021-10-20 10:12:26 981048,Alex
335,s,2021-10-20 10:12:26 981048,2021-10-20 10:12:27 105896,Alex
57,[space],2021-10-20 10:12:27 059158,2021-10-20 10:12:27 184143,Alex
102,p,2021-10-20 10:12:27 277861,2021-10-20 10:12:27 387216,Alex
138,r,2021-10-20 10:12:27 434084,2021-10-20 10:12:27 543419,Alex
164,o,2021-10-20 10:12:27 842602,2021-10-20 10:12:27 948493,Alex
225,b,2021-10-20 10:12:27 995363,2021-10-20 10:12:28 120338,Alex
25,a,2021-10-20 10:12:28 307794,2021-10-20 10:12:28 435620,Alex
226,b,2021-10-20 10:12:28 451107,2021-10-20 10:12:28 529344,Alex
202,l,2021-10-20 10:12:28 529344,2021-10-20 10:12:28 654182,Alex
351,y,2021-10-20 10:12:28 841765,2021-10-20 10:12:28 997987,Alex
58,[space],2021-10-20 10:12:29 053728,2021-10-20 10:12:29 147596,Alex
286,t,2021-10-20 10:12:29 210075,2021-10-20 10:12:29 319294,Alex
185,h,2021-10-20 10:12:29 288163,2021-10-20 10:12:29 397398,Alex
248,e,2021-10-20 10:12:29 413052,2021-10-20 10:12:29 600612,Alex
59,[space],2021-10-20 10:12:29 506872,2021-10-20 10:12:29 663094,Alex
287,t,2021-10-20 10:12:30 100500,2021-10-20 10:12:30 209840,Alex
186,h,2021-10-20 10:12:30 209840,2021-10-20 10:12:30 334711,Alex
310,i,2021-10-20 10:12:30 506651,2021-10-20 10:12:30 662859,Alex
139,r,2021-10-20 10:12:30 662859,2021-10-20 10:12:30 756597,Alex
288,t,2021-10-20 10:12:30 865947,2021-10-20 10:12:30 959657,Alex
352,y,2021-10-20 10:12:31 162745,2021-10-20 10:12:31 303322,Alex
