key,user,hold_time,press_press_time,press_release_time,release_release_time
[backspace],alex,62477.0,156159.0,93682.0,140600.0
[backspace],alex,46918.0,125021.0,78103.0,124967.0
[backspace],alex,46864.0,124842.0,77978.0,156218.0
[backspace],alex,78240.0,265701.0,187461.0,312422.0
f,alex,124961.0,124961.0,0.0,109224.0
o,alex,109224.0,124966.0,15742.0,156336.0
x,alex,140594.0,109354.0,-31240.0,93600.0
[space],alex,124840.0,296804.0,171964.0,312566.0
j,alex,140602.0,249949.0,109347.0,187315.0
u,alex,77968.0,249934.0,171966.0,265568.0
m,alex,93602.0,203100.0,109498.0,203195.0
p,alex,93697.0,93697.0,0.0,171843.0
s,alex,171843.0,124982.0,-46861.0,109342.0
[space],alex,156203.0,359296.0,203093.0,328059.0
o,alex,124966.0,140586.0,15620.0,156078.0
v,alex,140458.0,124967.0,-15491.0,187587.0
e,alex,203078.0,140597.0,-62481.0,31239.0
r,alex,93720.0,109212.0,15492.0,171840.0
[space],alex,156348.0,156348.0,0.0,93724.0
t,alex,93724.0,93724.0,0.0,109356.0
h,alex,109356.0,124972.0,15616.0,202973.0
e,alex,187357.0,109347.0,-78010.0,62589.0
[space],alex,140599.0,406163.0,265564.0,406143.0
l,alex,140579.0,531125.0,390546.0,515499.0
z,alex,124953.0,593603.0,468650.0,546631.0
[backspace],alex,77981.0,109357.0,31376.0,187576.0
a,alex,156200.0,203059.0,46859.0,203088.0
z,alex,156229.0,734201.0,577972.0,671716.0
y,alex,93744.0,109361.0,15617.0,156203.0
[space],alex,140586.0,281193.0,140607.0,171710.0
d,alex,31103.0,390535.0,359432.0,468774.0
g,alex,109342.0,359288.0,249946.0,343661.0
[backspace],alex,93715.0,93715.0,0.0,140612.0
o,alex,140612.0,77985.0,-62627.0,46854.0
g,alex,109481.0,265595.0,156114.0,281178.0
[space],alex,125064.0,515604.0,390540.0,515406.0
w,alex,124866.0,109342.0,-15524.0,156180.0
h,alex,171704.0,109222.0,-62482.0,47000.0
i,alex,109482.0,78238.0,-31244.0,78098.0
c,alex,109342.0,109342.0,0.0,93739.0
h,alex,93739.0,109356.0,15617.0,140582.0
[space],alex,124965.0,124965.0,0.0,109355.0
h,alex,109355.0,78094.0,-31261.0,111345.0
a,alex,142606.0,127084.0,-15522.0,187563.0
s,alex,203085.0,140583.0,-62502.0,62479.0
[space],alex,124981.0,265564.0,140583.0,312426.0
b,alex,171843.0,359166.0,187323.0,328042.0
e,alex,140719.0,437540.0,296821.0,374925.0
e,alex,78104.0,109337.0,31233.0,218696.0
n,alex,187463.0,187463.0,0.0,156203.0
[space],alex,156203.0,468636.0,312433.0,452923.0
u,alex,140490.0,124971.0,-15519.0,93698.0
s,alex,109217.0,203080.0,93863.0,281318.0
e,alex,187455.0,109339.0,-78116.0,46868.0
d,alex,124984.0,93733.0,-31251.0,93716.0
[space],alex,124967.0,171827.0,46860.0,171842.0
t,alex,124982.0,93739.0,-31243.0,78099.0
o,alex,109342.0,109342.0,0.0,124966.0
[space],alex,124966.0,124966.0,0.0,140595.0
t,alex,140595.0,93739.0,-46856.0,77985.0
e,alex,124841.0,187461.0,62620.0,250075.0
s,alex,187455.0,202936.0,15481.0,140587.0
t,alex,125106.0,62627.0,-62479.0,78095.0
[space],alex,140574.0,798757.0,658183.0,767520.0
t,alex,109337.0,124971.0,15634.0,122817.0
y,alex,107183.0,216548.0,109365.0,234329.0
p,alex,124964.0,281166.0,156202.0,359157.0
i,alex,202955.0,124847.0,-78108.0,46981.0
n,alex,125089.0,62568.0,-62521.0,144268.0
g,alex,206789.0,144162.0,-62627.0,93724.0
[space],alex,156351.0,343806.0,187455.0,218692.0
t,alex,31237.0,265559.0,234322.0,296806.0
[backspace],alex,62484.0,31240.0,-31244.0,109355.0
e,alex,140599.0,218701.0,78102.0,203065.0
q,alex,124963.0,140578.0,15615.0,187462.0
u,alex,171847.0,109365.0,-62482.0,78095.0
i,alex,140577.0,281054.0,140477.0,234319.0
p,alex,93842.0,218831.0,124989.0,249822.0
m,alex,124833.0,124833.0,0.0,109486.0
e,alex,109486.0,125090.0,15604.0,140581.0
n,alex,124977.0,93737.0,-31240.0,218702.0
t,alex,249942.0,218703.0,-31239.0,124982.0
[space],alex,156221.0,499889.0,343668.0,499878.0
s,alex,156210.0,93712.0,-62498.0,109343.0
i,alex,171841.0,93739.0,-78102.0,78099.0
n,alex,156201.0,187460.0,31259.0,187462.0
c,alex,156203.0,140584.0,-15619.0,171841.0
e,alex,187460.0,109219.0,-78241.0,78108.0
[space],alex,156349.0,187585.0,31236.0,234317.0
a,alex,203081.0,140598.0,-62483.0,109217.0
t,alex,171700.0,140585.0,-31115.0,93860.0
[space],alex,124975.0,156085.0,31110.0,187464.0
l,alex,156354.0,109466.0,-46888.0,78103.0
e,alex,124991.0,62499.0,-62492.0,124971.0
s,alex,187463.0,609236.0,421773.0,515483.0
[backspace],alex,93710.0,124836.0,31126.0,234328.0
a,alex,203202.0,296942.0,93740.0,249941.0
s,alex,156201.0,218698.0,62497.0,171845.0
t,alex,109348.0,232001.0,122653.0,221058.0
[space],alex,98405.0,145251.0,46846.0,140559.0
t,alex,93713.0,124947.0,31234.0,203081.0
h,alex,171847.0,124987.0,-46860.0,107374.0
e,alex,154234.0,78105.0,-76129.0,81622.0
[space],alex,157751.0,173368.0,15617.0,140575.0
