key,pressed,released,user,hold_time,press_press_time,press_release_time
a,2021-10-20 11:10:18.820756,2021-10-20 11:10:18.877595,zineb,56839.0,75628.0,18789.0
b,2021-10-20 11:10:18.896384,2021-10-20 11:10:18.990371,zineb,93987.0,102985.0,8998.0
e,2021-10-20 11:10:18.999369,2021-10-20 11:10:19.055369,zineb,56000.0,140510.0,84510.0
t,2021-10-20 11:10:19.139879,2021-10-20 11:10:19.219371,zineb,79492.0,161527.0,82035.0
[space],2021-10-20 11:10:19.301406,2021-10-20 11:10:19.356443,zineb,55037.0,217857.0,162820.0
a,2021-10-20 11:10:19.519263,2021-10-20 11:10:19.602680,zineb,83417.0,143862.0,60445.0
t,2021-10-20 11:10:19.663125,2021-10-20 11:10:19.729850,zineb,66725.0,73726.0,7001.0
[space],2021-10-20 11:10:19.736851,2021-10-20 11:10:19.796850,zineb,59999.0,133683.0,73684.0
l,2021-10-20 11:10:19.870534,2021-10-20 11:10:19.933871,zineb,63337.0,12167.0,-51170.0
e,2021-10-20 11:10:19.882701,2021-10-20 11:10:19.956378,zineb,73677.0,101928.0,28251.0
a,2021-10-20 11:10:19.984629,2021-10-20 11:10:20.041053,zineb,56424.0,110012.0,53588.0
s,2021-10-20 11:10:20.094641,2021-10-20 11:10:20.174640,zineb,79999.0,146011.0,66012.0
t,2021-10-20 11:10:20.240652,2021-10-20 11:10:20.314044,zineb,73392.0,58357.0,-15035.0
[space],2021-10-20 11:10:20.299009,2021-10-20 11:10:20.352214,zineb,53205.0,109035.0,55830.0
o,2021-10-20 11:10:20.408044,2021-10-20 11:10:20.538136,zineb,130092.0,67995.0,-62097.0
n,2021-10-20 11:10:20.476039,2021-10-20 11:10:20.580165,zineb,104126.0,106090.0,1964.0
c,2021-10-20 11:10:20.582129,2021-10-20 11:10:20.703116,zineb,120987.0,67808.0,-53179.0
e,2021-10-20 11:10:20.649937,2021-10-20 11:10:20.735127,zineb,85190.0,288582.0,203392.0
[maj],2021-10-20 11:10:20.938519,2021-10-20 11:10:21.064767,zineb,126248.0,23007.0,-103241.0
.,2021-10-20 11:10:20.961526,2021-10-20 11:10:21.034601,zineb,73075.0,171578.0,98503.0
[space],2021-10-20 11:10:21.133104,2021-10-20 11:10:21.195890,zineb,62786.0,102723.0,39937.0
t,2021-10-20 11:10:21.235827,2021-10-20 11:10:21.303225,zineb,67398.0,74399.0,7001.0
h,2021-10-20 11:10:21.310226,2021-10-20 11:10:21.376356,zineb,66130.0,115357.0,49227.0
e,2021-10-20 11:10:21.425583,2021-10-20 11:10:21.509309,zineb,83726.0,119457.0,35731.0
[space],2021-10-20 11:10:21.545040,2021-10-20 11:10:21.612925,zineb,67885.0,168234.0,100349.0
m,2021-10-20 11:10:21.713274,2021-10-20 11:10:21.817684,zineb,104410.0,71312.0,-33098.0
o,2021-10-20 11:10:21.784586,2021-10-20 11:10:21.893463,zineb,108877.0,72609.0,-36268.0
s,2021-10-20 11:10:21.857195,2021-10-20 11:10:21.919383,zineb,62188.0,148006.0,85818.0
t,2021-10-20 11:10:22.005201,2021-10-20 11:10:22.072314,zineb,67113.0,92073.0,24960.0
[space],2021-10-20 11:10:22.097274,2021-10-20 11:10:22.163354,zineb,66080.0,373482.0,307402.0
f,2021-10-20 11:10:22.470756,2021-10-20 11:10:22.580897,zineb,110141.0,57009.0,-53132.0
a,2021-10-20 11:10:22.527765,2021-10-20 11:10:22.639569,zineb,111804.0,139570.0,27766.0
m,2021-10-20 11:10:22.667335,2021-10-20 11:10:22.807087,zineb,139752.0,66314.0,-73438.0
o,2021-10-20 11:10:22.733649,2021-10-20 11:10:22.864087,zineb,130438.0,80497.0,-49941.0
u,2021-10-20 11:10:22.814146,2021-10-20 11:10:22.911083,zineb,96937.0,85983.0,-10954.0
s,2021-10-20 11:10:22.900129,2021-10-20 11:10:22.966479,zineb,66350.0,105673.0,39323.0
[space],2021-10-20 11:10:23.005802,2021-10-20 11:10:23.065816,zineb,60014.0,114962.0,54948.0
p,2021-10-20 11:10:23.120764,2021-10-20 11:10:23.206076,zineb,85312.0,54069.0,-31243.0
a,2021-10-20 11:10:23.174833,2021-10-20 11:10:23.241080,zineb,66247.0,98922.0,32675.0
n,2021-10-20 11:10:23.273755,2021-10-20 11:10:23.354535,zineb,80780.0,84472.0,3692.0
g,2021-10-20 11:10:23.358227,2021-10-20 11:10:23.430421,zineb,72194.0,37081.0,-35113.0
r,2021-10-20 11:10:23.395308,2021-10-20 11:10:23.462292,zineb,66984.0,147383.0,80399.0
a,2021-10-20 11:10:23.542691,2021-10-20 11:10:23.602682,zineb,59991.0,91843.0,31852.0
m,2021-10-20 11:10:23.634534,2021-10-20 11:10:23.709670,zineb,75136.0,218666.0,143530.0
[space],2021-10-20 11:10:23.853200,2021-10-20 11:10:23.922321,zineb,69121.0,509354.0,440233.0
i,2021-10-20 11:10:24.362554,2021-10-20 11:10:24.432994,zineb,70440.0,154590.0,84150.0
s,2021-10-20 11:10:24.517144,2021-10-20 11:10:24.585938,zineb,68794.0,80564.0,11770.0
[space],2021-10-20 11:10:24.597708,2021-10-20 11:10:24.655274,zineb,57566.0,169706.0,112140.0
p,2021-10-20 11:10:24.767414,2021-10-20 11:10:24.823732,zineb,56318.0,89570.0,33252.0
r,2021-10-20 11:10:24.856984,2021-10-20 11:10:24.914907,zineb,57923.0,66955.0,9032.0
o,2021-10-20 11:10:24.923939,2021-10-20 11:10:24.977487,zineb,53548.0,124094.0,70546.0
b,2021-10-20 11:10:25.048033,2021-10-20 11:10:25.111024,zineb,62991.0,72996.0,10005.0
a,2021-10-20 11:10:25.121029,2021-10-20 11:10:25.185027,zineb,63998.0,69999.0,6001.0
b,2021-10-20 11:10:25.191028,2021-10-20 11:10:25.263245,zineb,72217.0,118967.0,46750.0
l,2021-10-20 11:10:25.309995,2021-10-20 11:10:25.434128,zineb,124133.0,104874.0,-19259.0
y,2021-10-20 11:10:25.414869,2021-10-20 11:10:25.480778,zineb,65909.0,154048.0,88139.0
[space],2021-10-20 11:10:25.568917,2021-10-20 11:10:25.653225,zineb,84308.0,87834.0,3526.0
t,2021-10-20 11:10:25.656751,2021-10-20 11:10:25.709955,zineb,53204.0,57969.0,4765.0
h,2021-10-20 11:10:25.714720,2021-10-20 11:10:25.781558,zineb,66838.0,113099.0,46261.0
e,2021-10-20 11:10:25.827819,2021-10-20 11:10:25.897993,zineb,70174.0,27103.0,-43071.0
[space],2021-10-20 11:10:25.854922,2021-10-20 11:10:25.919302,zineb,64380.0,320380.0,256000.0
t,2021-10-20 11:10:26.175302,2021-10-20 11:10:26.290879,zineb,115577.0,146580.0,31003.0
h,2021-10-20 11:10:26.321882,2021-10-20 11:10:26.388081,zineb,66199.0,120231.0,54032.0
i,2021-10-20 11:10:26.442113,2021-10-20 11:10:26.536276,zineb,94163.0,74091.0,-20072.0
r,2021-10-20 11:10:26.516204,2021-10-20 11:10:26.592170,zineb,75966.0,254285.0,178319.0
t,2021-10-20 11:10:26.770489,2021-10-20 11:10:26.835552,zineb,65063.0,103158.0,38095.0
y,2021-10-20 11:10:26.873647,2021-10-20 11:10:26.940063,zineb,66416.0,191366.0,124950.0
[space],2021-10-20 11:10:27.065013,2021-10-20 11:10:27.128176,zineb,63163.0,114144.0,50981.0
f,2021-10-20 11:10:27.179157,2021-10-20 11:10:27.259559,zineb,80402.0,82406.0,2004.0
